	strain	gisaid_epi_isl	originating_lab	submitting_lab	author
2478	hCoV-19/Bahrain/341726140/2021	EPI_ISL_1660465	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti,H., AlHujairi,Z., AlAbbas,Z., Marhoon,A., Almoamen,G.
2479	hCoV-19/Bahrain/341509896/2021	EPI_ISL_2715289	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti,H., AlHujairi,Z., AlAbbas,Z., Marhoon,A., Almoamen,G.
2480	hCoV-19/SriLanka/CDR41/2021	EPI_ISL_1970358	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara, Deshni Jayathilaka, Dinuka Ariyaratne, Deshan Madhusanka, Diyanath Ranasinghe, Laksiri Gomes, Gathsaurie Neelika Malavige
2481	hCoV-19/SriLanka/aicbu451/2021	EPI_ISL_3099528	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara, Deshni Jayathilaka, Dumni Gunasinghe, Tibutius Thanesh, Dinuka Ariyarathne, Ayesha Wijesinghe, Diyanath Ranasinghe, Gathsaurie Neelika Malavige
2482	hCoV-19/SriLanka/CDR158/2021	EPI_ISL_2803175	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara, Deshni Jayathilaka, Deshan Madhusanka, Diyanath Ranasinghe, Gathsaurie Neelika Malavige
2483	hCoV-19/SriLanka/CDR195/2021	EPI_ISL_2803301	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara, Deshni Jayathilaka, Deshan Madhusanka, Diyanath Ranasinghe, Gathsaurie Neelika Malavige
2484	hCoV-19/SriLanka/CMC99967/2021	EPI_ISL_2481323	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara, Deshni Jayathilaka, Dinuka Ariyaratne, Deshan Madhusanka, Diyanath Ranasinghe, Laksiri Gomes, Gathsaurie Neelika Malavige
2485	hCoV-19/SriLanka/CDR211/2021	EPI_ISL_2803170	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara, Deshni Jayathilaka, Deshan Madhusanka, Diyanath Ranasinghe, Gathsaurie Neelika Malavige
2486	hCoV-19/SriLanka/CMC101303/2021	EPI_ISL_2481326	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara, Deshni Jayathilaka, Dinuka Ariyaratne, Deshan Madhusanka, Diyanath Ranasinghe, Laksiri Gomes, Gathsaurie Neelika Malavige
2487	hCoV-19/SriLanka/CMC107488/2021	EPI_ISL_2481411	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara, Deshni Jayathilaka, Dinuka Ariyaratne, Deshan Madhusanka, Diyanath Ranasinghe, Laksiri Gomes, Gathsaurie Neelika Malavige
2488	hCoV-19/SriLanka/CDR238/2021	EPI_ISL_2803298	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara, Deshni Jayathilaka, Deshan Madhusanka, Diyanath Ranasinghe, Gathsaurie Neelika Malavige
2489	hCoV-19/SriLanka/CDR164/2021	EPI_ISL_2803199	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara, Deshni Jayathilaka, Deshan Madhusanka, Diyanath Ranasinghe, Gathsaurie Neelika Malavige
2490	hCoV-19/SriLanka/aicbu118/2021	EPI_ISL_3070823	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara, Deshni Jayathilaka, Dumni Gunasinghe, Tibutius Thanesh, Dinuka Ariyarathne, Ayesha Wijesinghe, Diyanath Ranasinghe, Gathsaurie Neelika Malavige
2491	hCoV-19/BosniaandHerzegovina/AGCOB4239/2021	EPI_ISL_2029122	"General Hospital ""Abdulah Nakas"""	Alea Genetic Centre	Rijad Konjhodzic, Lana Salihefendic, Dino Pecar, Adis Kandix, Enis Kandic
2492	hCoV-19/Australia/QLD1822/2021	EPI_ISL_1516884	Queensland Health Forensic and Scientific Services	Queensland Health Forensic and Scientific Services	Son Nguyen
2493	hCoV-19/Georgia/Tb-SNGS689/2021	EPI_ISL_3902355	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili, Giorgi Gogoladze, Meri Pantsulaia, Gvantsa Brachveli, Salome Javashvili, Nino Berishvili, Tata Imnadze, Ana Papkiauri, Gvantsa Chanturia, Ann Machablishvili, Nato Kotaria, Marine Murtskhvaladze, Lela Sabadze, Mari Gavashelidze, Tamar Jashiashvili, Tea Tevdoradze, Ketevan Sidamonidze, Ekaterine Khmaladze, Ekaterine Zhghenti, Roena Sukhiashvili, Mariam Zakalashvili, Lela Urushadze, Magda Dgebuadze, Davit Tsaguria, Ekaterine Zangaladze, Adam Kotorashvili, Maia Alkhazashvili, Irma Burjanadze, Anna Kasradze, Khatuna Zakhashvili, Paata Imnadze, Amiran Gamkrelidze.
2494	hCoV-19/SouthAfrica/NHLS-UCT-AM-9019/2021	EPI_ISL_1817696		NHLS/UCT	Arash Iranzadeh, Deelan Doolabh, Lynn Tyers, Bruna Galvao, Innocent Mudau, Marvin Hsiao, Kruger Marais, Diana Hardie, Stephen Korsman, Carolyn Williamson
2495	hCoV-19/SouthAfrica/NHLS-UCT-AM-Z001/2021	EPI_ISL_1817697		NHLS/UCT	Arash Iranzadeh, Deelan Doolabh, Lynn Tyers, Bruna Galvao, Innocent Mudau, Marvin Hsiao, Kruger Marais, Diana Hardie, Stephen Korsman, Carolyn Williamson
2496	hCoV-19/Slovenia/90-025481-NM/2021	EPI_ISL_2463699	National Laboratory for Health, Environment and Food, OMM, Novo mesto	NLZOH (National Laboratory for Health, Environment and Food) / CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Sandra Janezic, Aleksander Mahnic, Maja Rupnik, Tjasa Žohar Čretnik, Alenka Štorman, Nika Gobec, Aleksander Kocuvan, Kaja Tominc, Maša Jarčič, David Cvetko, Tatjana Harlander, Matjaž Retelj / Jernej Kovač, Barbara Jenko Bizjan, Tine Tesovnik, Robert Šket, Katarina Kozmos, Ana Grom, Maruša Debeljak, Marko Pokorn, Tadej Battelino
2497	hCoV-19/NewZealand/21MV0403/2021	EPI_ISL_1967902	LabPLUS	Institute of Environmental Science and Research (ESR)	Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Joep de Ligt
2498	hCoV-19/USA/CA-CDC-ASC210061273/2021	EPI_ISL_2180956	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, Cyndi Clark, Patrick Campbell, Rob Case, Vikramsinha Ghorpade, Holly Houdeshell, Ola Kvalvaag, Dillon Nall, Ethan Sanders, Alec Vest, Shaun Westlund, Matthew Hardison, Clinton R. Paden, Duncan MacCannell
2499	hCoV-19/Romania/BZ-15095/2021	EPI_ISL_2566450	Department of Public Health Buzau	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu, Leontina Banica, Marius Surleac, Petre Milu, Robert Hohan, Simona Paraschiv, Dan Otelea
2500	hCoV-19/NewZealand/21MV0221/2021	EPI_ISL_1469098	LabPLUS	Institute of Environmental Science and Research (ESR)	Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Joep de Ligt
2501	hCoV-19/Canada/BC-BCCDC-128954/2021	EPI_ISL_3602508	British Columbia Centre For Disease Control	BCCDC Public Health Laboratory	Prystajecky Natalie, Linda Hoang, Dan Fornika, John Tyson, Shannon Russell, Kim Macdonald, Kimia Kamelian, Ana Pacagnella, Corrinne Ng, Loretta Janz, Robert Azana, Mel Krajden
2502	hCoV-19/Romania/Dolj_455027/2021	EPI_ISL_3021383	Clinical Emergency County Hospital, Craiova	Cantacuzino Institute Virology	Carmen Cherciu, Luiza Ustea, Nicoleta Paraschiv, Sorin Dinu, Mihaela Oprea, Mihaela Lazar
2503	hCoV-19/Poland/PL_P3463/2021	EPI_ISL_2937944	Diagnostyka. Laboratoria Medyczne.	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. genXone SA, Research & Development Laboratory	Mazur-Panasiuk,N., Grzegorz Nowicki, Wydmanski,W., Gromowski,T., Natalia Drweska-Matelska, Jakub Grabowski, Anna Brylak, Aleksandra Gidlewicz, Karol Szeszko, Maciej Sykulski, Łukasz Krych, Kowalski,M., Szulc,P., Sylwia Januszczak, Labaj,P.P., Michał Kaszuba, Pyrc,K.
2504	hCoV-19/Ireland/CN-NVRL-e87IRL40279/2021	EPI_ISL_1499739	National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle, Charlene Bennet, Gabriel Gonzalez, Michael Carr, Jonathan Dean, Cillian F De Gascun
2505	hCoV-19/Kenya/SS378/2021	EPI_ISL_2603069	KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G.,Mohamed K.S.,de Laurent Z.,Mburu M.W.,Matoke D.,Onyango C.,
2506	hCoV-19/Belgium/UZA-UA-CV2276922628/2021	EPI_ISL_2443385	Platform BIS UZA/UAntwerpen	Labo Klinische Biologie, UZA	Marie Le Mercier, Jasmine Coppens, Basil Britto Xavier, Christine Lammens, Veerle Matheeussen, Herman Goossens
2507	hCoV-19/Croatia/5530/2021	EPI_ISL_2674178	"Klinika za infektivne bolesti ""Dr. Fran Mihaljević"""	Hrvatski zavod za javno zdravstvo	Irena Tabain, Ivana Ferenčak
2508	hCoV-19/BosniaandHerzegovina/EL281/2021	EPI_ISL_2029260	Ekstralab Tuzla	Alea Genetic Centre	Dino Pecar, Lana Salihefendic, Enis Kandic, Adis Kandic, Nusret Butkovic, Rijad Konjhodzic
2509	hCoV-19/BosniaandHerzegovina/KCUS32934/2021	EPI_ISL_1300651	Clinical Center, University of Sarajevo; Unit for Clinical Microbiology	Clinical Center, University of Sarajevo; Unit for Clinical Microbiology	Irma Salimović-Bešić, Amela Dedeić-Ljubović, Edina Zahirović, Suzana Arapčić, Sebija Izetbegović, Sandra Vegar-Zubović, Maja Kuzmanovska, Golubinka Boshevska
2510	hCoV-19/Sweden/7386413475/2021	EPI_ISL_1618223	Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Swedish national genomic surveillance program of SARS-CoV-2
2511	hCoV-19/Iran/Kerman-NIC-K1/2021	EPI_ISL_2360250	Afzalipoor Hospital	National Influenza Center	V Salimi,NZ Shafiei Jandaghi, J Yavarian, A Nejati, K Sadeghi, N Ghavvami,F Ajaminejad and T Mokhtari Azad
2512	hCoV-19/Oman/52110370/2021	EPI_ISL_2921201	Oman-NIC	Oman-National Influenza Center	Samiha Al Kharusi, Laila Al Balushi, Aisha Al-Busaidi, Amina Al Jardani, Hanan Al Kindi, Intisar Al-Shukri.
2513	hCoV-19/Kosovo/ChVir25780_12/2021	EPI_ISL_2833659	Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman, Barbara Mühlemann, Jörn Beheim-Schwarzbach, Talitha Veith, Julia Schneider, Zana Deva, Donjeta Hajdari, Aferdita Hyseni, Pranvera Abazi, Nazmi Mehmeti, Blendi Jerliu, Xhevat Jakupi, Terry Jones, Christian Drosten
2514	hCoV-19/Switzerland/GE-HUG-33957222/2021	EPI_ISL_1963176	University Hospitals of Geneva, Laboratory of Virology	HUG, Laboratory of Virology and the Health2030 Genome Center	Samuel Cordey, Ana Rita Goncalves, Laurent Kaiser, Lorenzo Cerutti, Henri Pegeot, Melyssa Elies, Deborah Penet, Keith Harshman, Ioannis Xenarios, Emmanouil Dermitzakis
2515	hCoV-19/DRC/RDC-75/2021	EPI_ISL_2968690	Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Francisca Muyembe Mawete, Emmanuel Lokilo Lofiko, Jean Claude Makangara, Catherine Pratt, Matthias Pauthner, Josh Quick, Allison Black, James Hadfield, Trevor Bedford, Ian Goodfellow, Andrew Rambaut, Nick Loman, Kristian Andersen, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum
2516	hCoV-19/Bonaire/BQ-RIVM-35117/2021	EPI_ISL_2405573	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Linda van de Nes, Sjoerd Kuiling, James Groot, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
2517	hCoV-19/France/PAC-IHU-12072_Nova1/2021	EPI_ISL_2659728	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR
2518	hCoV-19/Curacao/CW-RIVM-44552/2021	EPI_ISL_3136624	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
2519	hCoV-19/Curacao/CW-RIVM-41664/2021	EPI_ISL_2862625	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
2520	hCoV-19/Denmark/DCGC-122900/2021	EPI_ISL_3076035	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium
2521	hCoV-19/Morocco/Ion_code_2/2021	EPI_ISL_3155073	ANOUAL	ANOUAL	Fatima zahra el ansari, Farah Jouali, Yassine Kasmi, Mohcine Bennani Mechita, Rachid Benhida, Jamal Fekkak.
2522	hCoV-19/Morocco/FMP-202/2021	EPI_ISL_1896699	Laboratoire central de Virologie	Laboratoire de Biotechnologie	Mouna Ouadghiri, Tarik Aanniz, Abdelomunim Essabbar, Ghizlane EL Amin, Amal Zouaki, Myriam Seffar, Hakima Kabbaj, Saaïd Amzazi, Lahcen Belyamani and Azeddine Ibrahimi
2523	hCoV-19/Iraq/Erbil3/2021	EPI_ISL_2153106	Biology, Gaziantep University	Biology, Gaziantep University	Ozaslan,M., Khailany,R.A., Rahman,M.O., Al-Attar,M.S.
2524	hCoV-19/Australia/VIC18129/2021	EPI_ISL_877574	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	MDU-PHL	Seemann T., Sait, M.L., Sherry, N.L.
2525	hCoV-19/Lebanon/QIB-898/2021	EPI_ISL_3344067	Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience	Georgi Merhi, Alexander J. Trotter, Leonardo de Oliveira Martins, Jad Koweyes, Thanh Le-Viet, Hala Abou Naja, Mona Al Buaini, Sophie J. Prosolek, Nabil-Fareed Alikhan, Martin Lott, Tatiana Tohmeh, Bassam Badran, Orla J. Jupp, Sarah Gardener, Matthew W. Felgate, Kate A. Makin, Janine M. Wilkinson, Rachael Stanley, Abdul K. Sessay, Mark Webber, Rose K. Davidson, Nada Ghosn, Mark Pallen, Hamad Hasan, Andrew J. Page, Sima Tokajian
2526	hCoV-19/Lebanon/QIB-900/2021	EPI_ISL_3358488	Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience	Georgi Merhi, Alexander J. Trotter, Leonardo de Oliveira Martins, Jad Koweyes, Thanh Le-Viet, Hala Abou Naja, Mona Al Buaini, Sophie J. Prosolek, Nabil-Fareed Alikhan, Martin Lott, Tatiana Tohmeh, Bassam Badran, Orla J. Jupp, Sarah Gardener, Matthew W. Felgate, Kate A. Makin, Janine M. Wilkinson, Rachael Stanley, Abdul K. Sessay, Mark Webber, Rose K. Davidson, Nada Ghosn, Mark Pallen, Hamad Hasan, Andrew J. Page, Sima Tokajian
2527	hCoV-19/Lebanon/QIB-896/2021	EPI_ISL_3344064	Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience	Georgi Merhi, Alexander J. Trotter, Leonardo de Oliveira Martins, Jad Koweyes, Thanh Le-Viet, Hala Abou Naja, Mona Al Buaini, Sophie J. Prosolek, Nabil-Fareed Alikhan, Martin Lott, Tatiana Tohmeh, Bassam Badran, Orla J. Jupp, Sarah Gardener, Matthew W. Felgate, Kate A. Makin, Janine M. Wilkinson, Rachael Stanley, Abdul K. Sessay, Mark Webber, Rose K. Davidson, Nada Ghosn, Mark Pallen, Hamad Hasan, Andrew J. Page, Sima Tokajian
2528	hCoV-19/Armenia/ER-CRIE-L219D0218u/2021	EPI_ISL_3919642	"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E., Korneenko E.V., Smirnova Y.S., Nadtoka M.I., Sinitsyn S.O., Roev G.V., Buharina A.Y., Vyhodceva A.V., Shipulina O.Y., Speranskaya A.S., Kondrasheva L.Y., Akimkin V.G.
2529	hCoV-19/Lebanon/QIB-905/2021	EPI_ISL_3344066	Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience	Georgi Merhi, Alexander J. Trotter, Leonardo de Oliveira Martins, Jad Koweyes, Thanh Le-Viet, Hala Abou Naja, Mona Al Buaini, Sophie J. Prosolek, Nabil-Fareed Alikhan, Martin Lott, Tatiana Tohmeh, Bassam Badran, Orla J. Jupp, Sarah Gardener, Matthew W. Felgate, Kate A. Makin, Janine M. Wilkinson, Rachael Stanley, Abdul K. Sessay, Mark Webber, Rose K. Davidson, Nada Ghosn, Mark Pallen, Hamad Hasan, Andrew J. Page, Sima Tokajian
2530	hCoV-19/Aruba/AW-RIVM-35920/2021	EPI_ISL_2406378	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Linda van de Nes, Sjoerd Kuiling, James Groot, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
2531	hCoV-19/Bulgaria/21BG-EU_002316_Pl22/2021	EPI_ISL_2180255	National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
2532	hCoV-19/USA/DC-DFS-PHL-0704/2021	EPI_ISL_2725471	DC Public Health Lab/ Dept. of Forensic Sciences	DC Public Health Lab/ Dept. of Forensic Sciences	Janis Doss, Scott Nguyen, Elizabeth Zelaya, Sarah Scott, Connie Maza, Monica Mann, Brittany Hamilton, David Payne, Jocelyn Hauser
2533	hCoV-19/Jordan/AM-Biolab042/2021	EPI_ISL_2105674	Biolab Diagnostic Laboratories	Biolab Diagnostic Laboratories	Issa Abu-Dayyeh, Ahmad Tibi, Lama Hussein, Shayma Ali, Badia Saddedin, Eiad Atwa, Amid Abdelnour
